ID,Name,SpType,[Fe/H],e[Fe/H],A(Li),eA(Li),Teff_K,eTeff_K,vsini,Age_Ga,eAge_Ga,M_Msol,eM_Msol,logRHK,elogRHK,Prot_d,R_Rsol,N_planets,sum_Mp,Porb_d,a_au,e,logOD,Pl,Nbr.
HD100777,HD 100777  ,G8V,0.25,0.02,0.37,,5532,118,1.8,4.247,3.638,0.997,0.039,-5.0869,0.0083,,1.058,1,1.16,383.7,1.03,0.36,8.1141419,Y,1
HD10086,HD 10086  ,G2/3V,0.11,0.03,1.72,0.07,5680,41,2.4,1.731,1.527,0.999,0.026,-4.623353737505,0.0190425942849997,17,1.004,,,,,,,N,
HD101339,HD 101339  ,G5V,-0.1,0.05,1.17,0.12,5749,45,,3.554,2.93,0.947,0.047,,,,1,,,,,,,N,
HD101367,HD 101367  ,G6/8IV,0.29,0.05,0.78,,5603,39,,4.81,2.291,1.024,0.034,,,,1.148,,,,,,,N,
HD10145,HD 10145  ,G5V,-0.01,0.03,0.98,,5782,294,3.9,4.018,3.718,0.974,0.043,-4.694963678685,-0.205016675655,25,1.08,,,,,,,N,
HD101501,* 61 UMa  ,G2/3V,-0.01,0.02,0.95,0.02,5574,150,2.4,3.419,3.402,0.894,0.031,-4.553201032435,0.0280114308849999,17.6,0.877,,,,,,,N,
HD10151,HD 10151  ,G8V,-0.27,0.08,,,4830,40,31,2.51,0.484,1.473,0.102,,,,,,,,,,,N,
HD101612,HD 101612  ,F5/6V,-0.36,0.05,2.46,0.1,6224,145,3.6,4.871,2.836,1.002,0.06,,,1.02527,1.217,,,,,,,N,
HD101644,HD 101644  ,G5V,-0.56,0.05,2.01,0.12,5831,90,,3.486,3.264,0.815,0.034,,,,0.798,,,,,,,N,
HD10166,HD 10166  ,K0V,-0.36,0.02,0.25,,5252,68,1.8,4.595,3.921,0.752,0.024,,,,0.731,,,,,,,N,
HD10180,HD 10180  ,G1V,0.08,0.01,1.82,,5891,23,2.8,4.522,0.848,1.066,0.021,-4.934272211835,-0.0175469914750002,14.8104,1.192,6,0.502,5.75979,0.0641,0.026,0.3939694,Y,6
HD101930,HD 101930  ,K2 V+,0.13,0.04,0.37,,5083,62,2.091,5.215,4.031,0.86,0.025,-5.003491111735,-0.0499952453049994,,0.899,1,0.3,70.46,0.302,0.11,5.6943709,Y,1
HD102117,HD 102117  ,G6V,0.29,0.02,0.6,0.12,5630,59,0.88,6.944,1.566,1.045,0.025,-5.03042504599,-0.44754140364,,1.266,1,0.172,20.67,0.1532,0.106,3.1102985,Y,1
HD102158,HD 102158  ,G2V,-0.46,0.03,0.99,,5837,115,4.6,8.968,2.3,0.882,0.029,-4.904857998355,-0.00625559122499997,24,1.184,,,,,,,N,
